电影,总票房(元),今日票房(元),有效场次,废场,人次,上座率,操作
双子杀手,6229.61万,http://img.58921.com/sites/all/movie/files/protec/75a33f506a36456250c60c910ec813fd.png,http://img.58921.com/sites/all/movie/files/protec/6e93183ff809ec2de5a94cb06f9ad324.png,472,1958,http://img.58921.com/sites/all/movie/files/protec/ad8e1e38504cd62b14d98476cbdd2615.png,http://58921.com/content/film/9517/schedule/wangpiao/20191113
道具师,297.49万,http://img.58921.com/sites/all/movie/files/protec/931cd344ddaf3c594d11460223565190.png,http://img.58921.com/sites/all/movie/files/protec/a46154857e620d58d3201edc814a46ea.png,787,4326,http://img.58921.com/sites/all/movie/files/protec/39e93c7b9e5f7597068d2b12e1f56204.png,http://58921.com/content/film/9544/schedule/wangpiao/20191113
攀登者,2.82亿,http://img.58921.com/sites/all/movie/files/protec/96a9ec9ad5418792dc6a37d12bb1b8af.png,http://img.58921.com/sites/all/movie/files/protec/8fe00e6035432c10205a8c106ae5def0.png,883,2575,http://img.58921.com/sites/all/movie/files/protec/f4ae59b90379bfea49cd40b23a0cad98.png,http://58921.com/content/film/9208/schedule/wangpiao/20191113
航海王：狂热行动,3979.92万,http://img.58921.com/sites/all/movie/files/protec/ba32b0ade7a97ae2603598396b8779af.png,http://img.58921.com/sites/all/movie/files/protec/f153b7fd060c924ab06757a8dafe187a.png,840,1948,http://img.58921.com/sites/all/movie/files/protec/44f937f48a85e0060a4ee6c2227f84e2.png,http://58921.com/content/film/9586/schedule/wangpiao/20191113
盗梦特攻队,11.14万,http://img.58921.com/sites/all/movie/files/protec/25f54df1bacbcbf20585696790bec4ec.png,http://img.58921.com/sites/all/movie/files/protec/d74838d3e9c4727656e00fda5ebae813.png,0,656,http://img.58921.com/sites/all/movie/files/protec/7eea0e260236f3ffbe122ddb16c69998.png,http://58921.com/content/film/9602/schedule/wangpiao/20191113
武林孤儿,22.21万,http://img.58921.com/sites/all/movie/files/protec/58a5f7d7dbb0a53762a82c88974a74b9.png,http://img.58921.com/sites/all/movie/files/protec/630a46849a9f5561fa1048011c6fd54e.png,111,844,http://img.58921.com/sites/all/movie/files/protec/18f2e71787934e2a0d39b31ea77c89fd.png,http://58921.com/content/film/9633/schedule/wangpiao/20191113
柬爱,258.21万,http://img.58921.com/sites/all/movie/files/protec/227aa63c5ada9cbc70dd0c78c44f3151.png,http://img.58921.com/sites/all/movie/files/protec/630a46849a9f5561fa1048011c6fd54e.png,149,757,http://img.58921.com/sites/all/movie/files/protec/b9a055b018516e35ecf3200f605de243.png,http://58921.com/content/film/9668/schedule/wangpiao/20191113
萤火奇兵2：小虫,318.07万,http://img.58921.com/sites/all/movie/files/protec/a82e2147c56547b2d05312ee9a8c5a17.png,http://img.58921.com/sites/all/movie/files/protec/6adab901341657285b058422460d72bf.png,193,717,http://img.58921.com/sites/all/movie/files/protec/e07d149eecdaf7040691b20d8880eb31.png,http://58921.com/content/film/9346/schedule/wangpiao/20191113
决胜时刻,3252.51万,http://img.58921.com/sites/all/movie/files/protec/4b9b981574c12a6de330efc1a38fa39c.png,http://img.58921.com/sites/all/movie/files/protec/12d842654004b67f7fed41dec1910914.png,29,543,http://img.58921.com/sites/all/movie/files/protec/9d25e1c5834c8da6e4536c62dd2a5e8c.png,http://58921.com/content/film/9327/schedule/wangpiao/20191113
杨靖宇,188.39万,http://img.58921.com/sites/all/movie/files/protec/8e83273d6656b64b79ca66c390b09445.png,http://img.58921.com/sites/all/movie/files/protec/3fb5dbe328abb37042029d6337d5dd73.png,11,667,http://img.58921.com/sites/all/movie/files/protec/f4b2c4b90e149c30e3bb2ef74b36d77e.png,http://58921.com/content/film/9546/schedule/wangpiao/20191113
越域重生,35.07万,http://img.58921.com/sites/all/movie/files/protec/0ea51edc3f156e5827bcc56b3d0d7502.png,http://img.58921.com/sites/all/movie/files/protec/142851c048e966acc89aa9a6501737f8.png,78,377,http://img.58921.com/sites/all/movie/files/protec/09dc77be8228d03ab716a748d464225c.png,http://58921.com/content/film/9620/schedule/wangpiao/20191113
天作谜案,1021.74万,http://img.58921.com/sites/all/movie/files/protec/497cbf3c5c4c71a2315cae4c08663844.png,http://img.58921.com/sites/all/movie/files/protec/c5ff47d26d18c5b1ff7f9cba72fe55cf.png,80,247,http://img.58921.com/sites/all/movie/files/protec/b402a5365607199cc3542b0e6139115c.png,http://58921.com/content/film/9588/schedule/wangpiao/20191113
极度危机,213.77万,http://img.58921.com/sites/all/movie/files/protec/57496188ab9f17f2b48db4112440d8d1.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,27,270,http://img.58921.com/sites/all/movie/files/protec/617e617ead165f3866164c3923dd8fc6.png,http://58921.com/content/film/9345/schedule/wangpiao/20191113
古田军号,6835.18万,http://img.58921.com/sites/all/movie/files/protec/1d60f6a7692d6528642efb539acd78ff.png,http://img.58921.com/sites/all/movie/files/protec/f563b12599df985df743af10c3ecb11d.png,16,243,http://img.58921.com/sites/all/movie/files/protec/d0b8f1ab68a1b34cc42cd934090b644e.png,http://58921.com/content/film/9363/schedule/wangpiao/20191113
爱在零纬度,7.19万,http://img.58921.com/sites/all/movie/files/protec/997ad3f932c6956c6103040552404d56.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,4,132,http://img.58921.com/sites/all/movie/files/protec/617e617ead165f3866164c3923dd8fc6.png,http://58921.com/content/film/9643/schedule/wangpiao/20191113
犯罪现场,5896.58万,http://img.58921.com/sites/all/movie/files/protec/d6bd37beff141525d913c3341b100929.png,http://img.58921.com/sites/all/movie/files/protec/dcc83f4ab125ec9dd81290a324220d1b.png,81,143,http://img.58921.com/sites/all/movie/files/protec/99be956bac7a7f6f424f040784f058e2.png,http://58921.com/content/film/9537/schedule/wangpiao/20191113
开国大典,268.79万,http://img.58921.com/sites/all/movie/files/protec/fbb655d915e97b1efd1e0540a9fbab05.png,http://img.58921.com/sites/all/movie/files/protec/5f2ba5cfc0a71975124f2017a93c5d77.png,3,142,http://img.58921.com/sites/all/movie/files/protec/617e617ead165f3866164c3923dd8fc6.png,http://58921.com/content/film/3696/schedule/wangpiao/20191113
长安道,10.8万,http://img.58921.com/sites/all/movie/files/protec/553dd48794a1a016208d45a3ed3c8b34.png,http://img.58921.com/sites/all/movie/files/protec/25f1902205be53eeac28188f670da5dd.png,0,145,http://img.58921.com/sites/all/movie/files/protec/bef84386f144991c5f10b5f6b2a95df5.png,http://58921.com/content/film/9503/schedule/wangpiao/20191113
爱情图鉴之暗恋,97.61万,http://img.58921.com/sites/all/movie/files/protec/6676102db9050ba59cefa2158bff7bf1.png,http://img.58921.com/sites/all/movie/files/protec/692db23194cedd8503497e3521f86de3.png,67,146,http://img.58921.com/sites/all/movie/files/protec/2ad4ed4bb907d2f1d209f78b310d576f.png,http://58921.com/content/film/9650/schedule/wangpiao/20191113
樵夫·廖俊波,166.68万,http://img.58921.com/sites/all/movie/files/protec/c9edd74e0592be8c07e818bce0c626e1.png,http://img.58921.com/sites/all/movie/files/protec/f563b12599df985df743af10c3ecb11d.png,4,119,http://img.58921.com/sites/all/movie/files/protec/fb46c92c34fd7e7f6519a8293b62aa41.png,http://58921.com/content/film/9442/schedule/wangpiao/20191113
红色之子·单刀赴,16.05万,http://img.58921.com/sites/all/movie/files/protec/1982b570796746116fdd9367257b537b.png,http://img.58921.com/sites/all/movie/files/protec/f563b12599df985df743af10c3ecb11d.png,16,131,http://img.58921.com/sites/all/movie/files/protec/c77d0c4b16c5ce1089bbe4a42ab4f95f.png,http://58921.com/content/film/9610/schedule/wangpiao/20191113
一个人的城市,2.07万,http://img.58921.com/sites/all/movie/files/protec/f0d2fc3b067f023e1cd82ea2c57d541f.png,http://img.58921.com/sites/all/movie/files/protec/5f2ba5cfc0a71975124f2017a93c5d77.png,1,96,http://img.58921.com/sites/all/movie/files/protec/b7c4eed12782a97c6e5821c5477a9a2a.png,http://58921.com/content/film/9641/schedule/wangpiao/20191113
悠然见南山,186.69万,http://img.58921.com/sites/all/movie/files/protec/ad7c88ff8f46e3abbcebc51e584a0983.png,http://img.58921.com/sites/all/movie/files/protec/b9d954645d6f17c7ddeb82391ddd7395.png,64,136,http://img.58921.com/sites/all/movie/files/protec/b44d3ba66286d290390552f4b5b66d29.png,http://58921.com/content/film/9465/schedule/wangpiao/20191113
订亲,112.38万,http://img.58921.com/sites/all/movie/files/protec/e357d991b703c66cf3221c2e3da3d040.png,http://img.58921.com/sites/all/movie/files/protec/5f2ba5cfc0a71975124f2017a93c5d77.png,44,112,http://img.58921.com/sites/all/movie/files/protec/5a5711ea8f26a1cd9d2ae825d87bce3f.png,http://58921.com/content/film/9621/schedule/wangpiao/20191113
